OBJECTID,name,latitude_centroid,longitude_centroid,median_household_income,surface_area,population_density,average_age,families_with_children_percentage,rent_vs_own_percentage,unemployment_rate,education_level_percentage,total_crimes,violent_ratio,property_ratio,violent_vs_property_ratio,crime_trend_slope,crimes_per_100_people,median_rent,median_home_price,average_housing_age,air_quality_index,average_dB_level,maximum_dB_level,gym_density,culture_density,local_businesses_density,restaurant_density,premium_stores_density,nightlife_density,hospital_density,dist_downtown_km,proximity_to_sea,green_space_percentage,charging_stations_number,walk_score,transit_score,bike_score,accessibility_score
11,Brentwood,34.08860164740486,-118.4951425967024,250000.0,5.7,522.1052631578947,42.6,42.17687074829932,9.977324263038549,10.9,73.5,1314,0.1210045662100456,0.815068493150685,0.1484593837535014,-0.4780219780219781,44.153225806451616,3500.0,2000000.0,52.0,Good,60,80,1.75,0.35,8.77,12.28,2.63,2.63,0.88,23.511858927009964,8.686423707333931,40,70,52,42,42,60
12,Broadway-Manchester,33.941539742532655,-118.27485798533044,43173.0,1.5,2830.0,30.2,89.09682668836453,78.51912123677786,10.0,7.3,11498,0.428161419377283,0.499391198469299,0.8573667711598746,-4.813186813186812,270.8598351001178,1403.0,633900.0,57.0,Moderate/Poor,65,85,0.67,0.67,3.33,6.67,0.0,1.33,0.67,12.639818678045136,18.908718046692773,5,20,60,55,50,65
13,Canoga Park,34.20910287047777,-118.600569019906,53170.0,10.0,369.9,39.4,40.99859353023911,76.51195499296765,9.7,18.2,15928,0.2677046710195881,0.6691988950276243,0.4000375269725115,-9.945054945054943,430.602865639362,1819.0,546600.0,42.0,Moderate/Poor,65,85,0.6,0.2,3.5,6.0,0.5,1.5,0.5,37.19265554811689,24.092247817098112,15,60,69,49,70,60
14,Carthay,34.05810530811959,-118.36953151805584,128059.0,1.2,2777.5,39.4,28.70175438596491,66.52631578947368,8.2,64.2,5128,0.234399375975039,0.7020280811232449,0.3338888888888889,-2.9505494505494503,153.85538553855383,2473.0,2000000.0,,Moderate,60,80,2.5,0.83,12.5,16.67,0.83,4.17,0.83,11.612136815394084,12.531433773348263,12,25,80,65,68,80
15,Central-Alameda,34.00521777759098,-118.24776781052158,47269.0,2.0,2235.0,33.6,,73.35299901671584,9.3,5.5,9658,0.3604265893559743,0.5663698488299855,0.636380255941499,-4.939560439560439,216.06263982102908,1665.0,574800.0,70.0,Moderate/Poor,65,90,0.5,0.5,2.5,7.5,0.0,1.0,0.5,5.241610857350588,20.890721744844672,8,20,72,60,65,70
16,Century City,34.05497197257868,-118.41557681987652,135533.0,2.5,1242.4,61.8,18.042328042328045,37.142857142857146,6.5,67.2,3647,0.1321634219906772,0.8297230600493556,0.1592861863846662,-2.538461538461539,117.41790083708948,3500.0,1585900.0,43.0,Moderate,65,90,3.2,1.2,18.0,24.0,12.0,6.0,2.0,15.838908451956833,8.910236001994523,15,55,75,70,60,85
17,Chatsworth,34.261063039647475,-118.59312165739038,129038.0,15.0,236.0,52.8,26.37729549248748,10.851419031719532,3.4,51.8,7193,0.2414847768663978,0.683164187404421,0.3534798534798535,-4.170329670329671,203.1920903954802,3250.0,938500.0,52.0,Moderate/Poor,55,75,0.33,0.13,1.33,2.33,0.07,0.33,0.2,39.66149738822554,29.261599012123632,35,65,47,38,51,45
18,Chatsworth Reservoir,34.23235163934279,-118.6303495413942,,5.0,9.4,47.4,100.0,0.0,0.0,100.0,1022,0.1986301369863013,0.7446183953033269,0.266754270696452,-0.8241758241758241,2174.468085106383,,,,Good,45,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.83390175767583,27.596584945260823,90,5,10,5,10,30
19,Chesterfield Square,33.98379971824574,-118.31327070713968,50904.0,1.0,4404.0,32.8,,54.889589905362776,16.1,9.2,4349,0.3793975626580823,0.5502414348126006,0.6895110739657334,-2.120879120879121,98.7511353315168,1837.0,595000.0,80.0,Moderate/Poor,60,80,1.0,0.0,5.0,8.0,0.0,1.0,1.0,9.951918484797773,14.733768015971028,5,15,55,50,45,60
20,Cheviot Hills,34.04032515620858,-118.40914404805028,230893.0,2.5,1508.4,50.3,30.532212885154063,14.07563025210084,8.9,82.6,727,0.0962861072902338,0.8707015130674003,0.1105845181674565,-0.5,19.27870591355078,2727.0,2000000.0,78.0,Good,55,75,0.8,0.4,2.0,4.0,0.0,0.8,0.4,15.302085941752493,8.514151137741928,25,30,70,55,60,70
21,Chinatown,34.06379102742822,-118.23498656117518,60703.0,1.2,2908.333333333333,40.2,32.66533066132264,92.78557114228455,14.7,37.0,13167,0.2931571352623984,0.6633249791144528,0.4419509961071673,-24.03296703296704,377.2779369627507,1306.0,807700.0,47.0,Moderate/Poor,65,90,1.67,4.17,33.33,41.67,0.83,8.33,1.67,1.5142534274521775,23.623311165628312,8,35,85,80,70,85
22,Cypress Park,34.09100571528915,-118.22454368571802,59309.0,3.0,957.0,41.5,45.54973821989529,64.60732984293193,6.8,19.3,3079,0.291328353361481,0.6469632997726534,0.4503012048192771,-2.15934065934066,107.24486241727622,1200.0,748000.0,,Moderate/Poor,65,90,0.67,0.33,3.33,5.0,0.0,1.67,0.33,4.657610182642159,25.75268424351245,18,30,75,55,60,75
23,Del Rey,33.989698032681495,-118.42388714341432,94403.0,4.0,1201.25,39.9,19.172198360015617,57.9070675517376,5.2,56.4,5342,0.2160239610632721,0.7199550730063646,0.3000520020800832,-3.0329670329670333,111.17585848074924,2097.0,1426100.0,56.0,Good,55,75,0.75,0.25,3.75,6.25,0.0,1.25,0.5,18.00499904746644,4.563339540716254,12,40,75,50,76,75
24,Downtown,34.03903398703918,-118.24576375665512,51917.0,5.8,322.9310344827586,37.6,10.256410256410255,86.18693134822168,9.5,45.0,58457,0.313974374326428,0.6533349299485092,0.4805718475073314,-47.42307692307691,3121.035771489589,1604.0,619600.0,,Moderate/Poor,70,95,2.59,3.45,25.86,34.48,3.45,12.07,1.72,1.4803517923686145,21.793636661265907,10,200,94,91,52,95
25,Eagle Rock,34.13623125885513,-118.20783199128888,105968.0,7.7,579.6103896103896,38.7,39.02291917973462,58.74547647768396,8.2,55.1,4087,0.2008808416931734,0.7306092488377783,0.2749497655726725,-2.543956043956044,91.5751736500112,1853.0,1047400.0,71.0,Moderate,60,85,0.65,0.39,4.55,6.49,0.13,1.95,0.26,9.906211930221204,29.657499791370736,25,45,70,47,46,70
26,East Hollywood,34.08865188117844,-118.29722668055189,66961.0,2.5,2196.4,35.4,54.24628450106157,86.1995753715499,10.9,28.2,19558,0.3305041415277636,0.6222006340116576,0.5311857999835647,-11.28021978021978,356.18284465488983,1599.0,982100.0,59.0,Moderate,65,90,2.4,1.6,18.0,28.0,0.8,8.0,2.0,6.381239177543498,19.88053239013075,10,40,90,70,71,85
27,Echo Park,34.078969140221346,-118.2564120398918,101071.0,2.5,1448.4,35.1,38.63354037267081,65.71428571428571,6.8,57.0,7457,0.2189888695185731,0.7334048544991283,0.2985920643627719,-5.302197802197803,205.93758630212648,2228.0,1085000.0,79.0,Moderate,65,85,1.6,1.2,12.0,20.0,0.4,10.0,0.8,3.19558211199891,22.531015981184005,20,35,85,70,65,85
28,El Sereno,34.07912669111998,-118.17585882929852,104750.0,3.0,687.6666666666666,41.1,62.60720411663808,42.88164665523155,7.2,24.0,5089,0.3083120455885242,0.6219296521910002,0.4957345971563981,-2.6373626373626378,246.6795928259816,1327.0,760900.0,72.0,Moderate/Poor,60,80,0.67,0.33,3.33,6.67,0.0,1.67,0.33,6.926245800865638,29.317266797347976,22,25,70,50,55,65
29,Elysian Park,34.07894786667291,-118.23820412043015,,2.4,59.583333333333336,62.2,15.068493150684931,87.67123287671232,1.6,14.0,938,0.3411513859275053,0.6002132196162047,0.5683836589698046,-0.653846153846154,655.9440559440559,791.0,,34.0,Good,45,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.012904298976537,24.029303520886053,75,20,75,60,50,70
30,Elysian Valley,34.09753317187407,-118.24194928886668,93521.0,2.0,1454.0,35.5,28.65116279069768,61.20930232558139,8.1,39.2,2177,0.2090032154340836,0.7257694074414331,0.2879746835443038,-1.4065934065934067,74.86244841815682,2419.0,821600.0,73.0,Moderate,55,75,1.0,0.5,2.5,5.0,0.0,1.5,0.0,5.0394573633293644,24.696466493641733,25,20,45,51,63,65
31,Encino,34.15211447186858,-118.50204855273547,183688.0,8.0,704.375,50.7,34.96084753569784,25.057577153385537,12.7,66.1,5920,0.1875,0.7474662162162162,0.2508474576271186,-3.351648351648352,105.05767524401064,2391.0,1698700.0,54.0,Moderate/Poor,65,85,1.0,0.38,6.25,10.0,1.0,1.88,1.0,26.25349604549248,15.7582131655218,35,60,45,35,40,55
32,Exposition Park,34.01758108725821,-118.3016943292226,54464.0,6.4,401.5625,34.0,,71.33838383838383,17.7,8.4,8764,0.3831583751711547,0.5431309904153354,0.7054621848739496,-6.054945054945056,341.011673151751,1637.0,676400.0,82.0,Moderate,65,85,0.31,1.56,2.34,4.69,0.0,0.78,0.47,6.58963271065379,16.206264560451594,30,40,75,65,60,80
33,Fairfax,34.0791223414669,-118.35231121858035,134167.0,2.0,1975.0,33.4,34.516129032258064,52.17741935483871,7.0,63.0,10130,0.2144126357354392,0.7324777887462981,0.292722371967655,-7.758241758241759,256.4556962025316,2882.0,2000000.0,,Moderate,65,90,4.0,2.0,30.0,40.0,7.5,10.0,2.0,10.443223216173587,15.27227221108514,12,45,85,70,68,85
34,Florence,33.974644576589235,-118.26855212493768,62174.0,2.0,1791.5,30.3,98.63157894736842,67.6842105263158,7.9,4.1,14925,0.4483082077051926,0.4851591289782244,0.9240436403811628,-7.373626373626375,416.5503767792353,1525.0,549800.0,72.0,Moderate/Poor,65,85,0.5,0.5,2.5,5.0,0.0,1.0,0.5,8.926963837545939,18.89269947599001,6,15,55,50,45,60
35,Glassell Park,34.11466786124112,-118.23590897062827,89880.0,3.5,1348.2857142857142,41.8,30.28391167192429,32.86014721345952,6.4,47.1,3906,0.2555043522785458,0.6679467485919098,0.3825220390954388,-1.653846153846154,82.77177368086458,1970.0,1128800.0,69.0,Moderate,60,80,0.57,0.29,4.29,5.71,0.0,1.43,0.29,6.979036901071557,26.17488273959938,28,30,66,46,40,70
36,Gramercy Park,33.95128135852574,-118.30942011273078,60625.0,1.0,5438.0,47.3,56.64713835060839,40.78413699864804,7.7,27.6,3167,0.3988001263024944,0.5459425323650142,0.7304800462695199,-1.3846153846153848,58.238322912835606,1595.0,656200.0,80.0,Moderate/Poor,60,80,1.0,0.0,5.0,8.0,0.0,1.0,1.0,12.756730227680972,15.55107761712662,5,15,55,50,45,60
37,Granada Hills,34.29037297897104,-118.50512643245077,139145.0,11.0,319.45454545454544,47.0,36.66947014297729,9.503784693019345,6.4,47.7,5985,0.1837928153717627,0.7570593149540518,0.2427720150077245,-4.4010989010989015,170.3187250996016,3500.0,914900.0,63.0,Moderate/Poor,55,75,0.45,0.18,1.82,3.64,0.09,0.45,0.36,35.77277772387199,31.133338810683856,30,55,44,29,41,50
38,Green Meadows,33.94121421174937,-118.26191835523711,65852.0,1.0,4749.0,30.7,,53.2033426183844,9.5,11.0,10898,0.4118186823270325,0.531932464672417,0.7741935483870968,-5.494505494505495,229.47989050326385,1500.0,536100.0,64.0,Moderate/Poor,60,80,1.0,0.0,3.0,5.0,0.0,1.0,1.0,12.458884466239365,20.073468188758884,4,10,50,45,40,55
39,Griffith Park,34.13701880890887,-118.29389988760497,,5.4,0.9259259259259258,19.8,,,,,693,0.1774891774891775,0.7835497835497836,0.2265193370165746,-0.543956043956044,13860.0,,,,Good,45,65,0.0,0.93,0.0,0.37,0.0,0.19,0.0,10.500491247769762,23.333600011297627,95,15,20,30,25,60
40,Hancock Park,34.07271565809303,-118.334976129461,157188.0,2.0,1893.5,42.4,29.88826815642458,67.54189944134077,7.6,68.9,2022,0.162215628090999,0.7927794263105836,0.2046163443543356,-1.164835164835165,53.393187219434914,2767.0,2000000.0,,Moderate,60,80,1.5,1.5,7.5,12.5,2.5,5.0,1.0,8.712540794310485,16.029958778790267,15,35,80,65,65,80
41,Hansen Dam,34.26688748720612,-118.3810255900251,,2.0,8.0,32.0,0.0,0.0,0.0,30.8,2116,0.275047258979206,0.6592627599243857,0.4172043010752688,-1.3021978021978025,13225.0,,,,Good,45,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.007204785118777,30.41088508782843,85,5,15,10,15,40
42,Harbor City,33.79311567379349,-118.2976510031175,64722.0,6.0,449.0,38.3,58.81742738589212,62.96680497925311,4.8,17.2,7283,0.3030344638198544,0.6246052450913085,0.4851615739723016,-3.6483516483516487,270.34149962880474,1679.0,453200.0,45.0,Moderate,60,80,0.5,0.17,2.5,4.17,0.0,0.83,0.5,29.239881342192778,5.970896032480493,12,40,65,42,56,65
43,Harbor Gateway,33.866549832035645,-118.29468447015084,100682.0,5.8,521.551724137931,50.0,42.05357142857143,21.33928571428571,5.3,34.3,6134,0.2843169220736876,0.6728073035539616,0.4225829900654228,-3.60989010989011,202.77685950413223,1651.0,686100.0,66.0,Moderate,65,90,0.52,0.17,1.72,3.45,0.0,0.52,0.52,21.17627479241522,14.117840716555143,10,35,61,57,59,60
44,Harvard Heights,34.045044733959095,-118.3067245773274,52560.0,1.0,2531.0,32.3,55.23012552301255,85.91352859135286,7.2,14.1,8168,0.3042360430950049,0.6404260528893242,0.4750525712100937,-4.445054945054945,322.71829316475703,1284.0,1159700.0,,Moderate,60,80,2.0,1.0,8.0,15.0,0.0,5.0,2.0,5.862914417481307,16.71981790212787,8,20,75,65,60,70
45,Harvard Park,33.98392228425553,-118.30460656120704,50904.0,1.5,2936.0,32.8,,54.889589905362776,16.1,9.2,4982,0.3994379767161782,0.5427539140907266,0.7359467455621301,-2.423076923076924,113.1244323342416,1837.0,595000.0,80.0,Moderate/Poor,60,80,0.67,0.0,3.33,6.67,0.0,1.33,0.67,9.446066574566814,15.532456025764697,6,15,60,55,50,60
46,Highland Park,34.11563000006861,-118.1926681979814,108256.0,6.4,479.21875,38.8,38.39622641509434,55.37735849056604,6.5,35.8,6560,0.2615853658536585,0.6614329268292682,0.3954828301451947,-4.868131868131868,213.88979458754483,2032.0,1109500.0,72.0,Moderate,65,85,0.78,0.78,6.25,9.38,0.47,4.69,0.47,8.47134765837335,29.63389736082721,28,40,77,50,53,70
47,Historic South-Central,34.01710470789355,-118.2675034828457,51667.0,2.0,1259.0,32.4,,68.85245901639344,6.7,7.7,15341,0.3269669513069552,0.621145948764748,0.5263931157519152,-8.62087912087912,609.253375694996,1391.0,574200.0,67.0,Moderate/Poor,65,85,1.0,1.0,7.5,15.0,0.0,5.0,1.0,4.48076296209915,19.281583248226525,8,20,65,60,55,65
48,Hollywood Hills,34.12686381342771,-118.32947624488158,100903.0,2.5,797.2,42.3,16.208530805687204,41.99052132701422,2.5,69.1,3028,0.1482826948480845,0.7985468956406869,0.1856906534325889,-2.1153846153846154,151.93176116407426,2503.0,1076900.0,51.0,Good,50,70,0.8,0.8,2.0,4.0,0.0,2.0,0.4,11.457755091947128,20.06820554596068,70,50,72,54,39,55
49,Hollywood Hills West,34.109963399350754,-118.37133359829788,177697.0,2.0,1252.0,46.2,26.32869991823385,25.10220768601799,2.6,71.1,3740,0.2013368983957219,0.7425133689839573,0.2711559236586244,-1.9615384615384617,149.36102236421723,2206.0,2000000.0,57.0,Good,50,70,1.0,0.5,1.5,2.5,0.0,1.5,0.0,13.394513076120322,15.944993091592751,65,45,75,60,60,60
50,Hollywood,34.09499255931088,-118.33058191358197,76806.0,3.5,849.4285714285714,38.0,15.754660252555622,89.35658448586891,6.3,48.8,32567,0.3086560014738846,0.6378849755887862,0.4838740733609319,-21.51098901098901,1095.4254961318534,1783.0,963800.0,53.0,Moderate,70,95,3.43,4.29,22.86,34.29,4.29,22.86,2.29,9.309429179776158,17.903761126657677,12,70,88,64,68,85
51,Hyde Park,33.98614973659278,-118.32982670562872,90893.0,7.5,511.73333333333335,38.1,61.027667984189726,39.9209486166008,9.8,18.7,8735,0.3781339439038351,0.5580995993131082,0.6775384615384615,-4.120879120879121,227.5924960917144,1456.0,678400.0,74.0,Moderate/Poor,60,80,0.27,0.13,1.07,2.0,0.0,0.4,0.27,10.818102393295044,13.207011549934071,10,25,65,55,50,60
52,Jefferson Park,34.02914032556797,-118.3222493253986,91518.0,1.0,3214.0,39.4,40.76999012833169,48.86475814412636,8.1,21.8,6092,0.3297767564018384,0.6024294156270519,0.5474114441416894,-3.989010989010989,189.5457373988799,1432.0,923300.0,,Moderate,60,80,2.0,2.0,10.0,20.0,0.0,5.0,1.0,7.68114155127068,14.74083980526125,8,15,60,55,50,60
53,Koreatown,34.06396176179617,-118.3023010840067,50995.0,7.4,601.081081081081,34.3,30.57471264367816,91.54022988505749,11.8,39.6,22537,0.3279052225229622,0.624528553046102,0.525044404973357,-11.6978021978022,506.6771582733813,1669.0,893800.0,52.0,Moderate,70,95,2.03,0.68,13.51,20.27,0.68,8.11,0.81,5.555201034873873,18.018201621624417,8,60,93,76,64,90
54,Lake View Terrace,34.28080481489099,-118.36500656893811,113929.0,3.0,436.3333333333333,46.6,31.91489361702128,25.79787234042553,9.8,30.7,412,0.2572815533980582,0.6432038834951457,0.4,-0.2802197802197803,31.47440794499618,,650600.0,47.0,Moderate/Poor,50,70,0.67,0.33,1.67,3.33,0.0,1.0,0.33,27.758920837722133,32.38532580051463,40,20,50,40,45,50
55,Larchmont,34.079876021912334,-118.3176134020678,126250.0,0.7,6121.428571428572,41.7,21.395587480759364,62.23704463827604,5.7,62.5,7012,0.2733884768967484,0.6674272675413577,0.4096153846153846,-3.774725274725274,163.64060676779465,2243.0,1619900.0,,Moderate,60,80,4.29,1.43,28.57,42.86,7.14,7.14,2.86,7.471419687697813,17.787097322445216,10,25,85,70,70,85
56,Leimert Park,34.0122449454981,-118.32667448152522,84271.0,1.2,2097.5,45.8,41.20603015075377,38.49246231155779,3.1,37.1,7387,0.3418167050223365,0.5865710031135779,0.5827371336256635,-5.758241758241758,293.4843067143425,2090.0,1013800.0,82.0,Moderate,60,80,1.67,3.33,16.67,20.83,0.83,4.17,1.67,8.846442297059394,13.829729349101932,15,20,70,60,65,70
57,Lincoln Heights,34.071792226415546,-118.2123638428245,68661.0,2.5,1536.8,33.1,98.10479375696768,66.22073578595318,6.6,14.4,8044,0.3198657384385878,0.6219542516161114,0.5142914251449131,-4.807692307692308,209.37011972930765,1528.0,619800.0,82.0,Moderate/Poor,65,90,0.8,0.8,6.0,12.0,0.0,2.0,2.0,3.612841003893641,25.88844790545129,15,30,78,60,56,75
58,Los Feliz,34.1084866095848,-118.287725755274,116402.0,3.1,1224.8387096774193,35.3,14.622883530015391,79.93842996408415,12.8,77.4,6016,0.1457779255319149,0.8091755319148937,0.1801561216105176,-5.258241758241758,158.44087437450617,2156.0,2000000.0,65.0,Good/Moderate,60,80,1.61,0.97,12.9,19.35,1.61,8.06,0.97,7.454975721049373,21.908533026268035,35,50,85,60,55,80
59,Manchester Square,33.96728617174952,-118.30902343607178,66230.0,1.0,5205.0,37.7,47.62135922330097,66.50485436893204,5.8,16.8,4627,0.3808082991138967,0.5584612059649882,0.6818885448916409,-2.071428571428572,88.89529298751201,1192.0,678500.0,,Moderate/Poor,60,80,1.0,0.0,5.0,8.0,0.0,1.0,1.0,11.202568244001768,15.25456971909052,4,10,50,45,40,55
60,Mar Vista,34.009415360935265,-118.435455829397,102510.0,4.0,996.75,35.6,38.04406233207953,71.14454594304136,8.3,60.0,4717,0.1695993216027136,0.7829128683485266,0.2166260492824262,-2.994505494505495,118.309505894156,1919.0,2000000.0,59.0,Good,60,80,1.25,0.5,8.75,12.5,0.5,2.5,0.75,18.30228987268131,4.400191182003259,18,45,75,50,76,75
61,Mid-City,34.04126385758499,-118.36059125335102,64234.0,2.0,2405.5,36.3,21.29673450070989,74.6332229058211,17.5,37.3,5697,0.2711953659820958,0.6589433034930665,0.4115610015982952,-4.472527472527473,118.4161297027645,1847.0,1010300.0,76.0,Moderate,65,85,2.5,2.0,20.0,30.0,2.5,7.5,2.0,10.840089271812984,12.105421988499998,12,30,78,59,61,75
62,Mid-Wilshire,34.05755147935648,-118.34524908460163,112798.0,3.0,863.6666666666666,39.1,11.901504787961697,77.7701778385773,5.7,58.1,10607,0.2045818798906382,0.7205618930894692,0.2839199267303415,-8.813186813186814,409.3786182940949,2747.0,2000000.0,48.0,Moderate,65,90,2.67,5.0,20.0,30.0,3.33,8.33,2.0,9.375447595401598,14.274294366392532,10,40,80,65,65,80
63,Mission Hills,34.26690511414982,-118.45987435505896,99718.0,4.5,804.4444444444445,40.6,56.58709106984969,31.65340406719717,3.3,30.7,6115,0.2387571545380212,0.6780049059689288,0.3521466473709599,-4.835164835164835,168.92265193370167,2125.0,551900.0,64.0,Moderate/Poor,65,85,0.67,0.22,3.33,5.56,0.0,1.11,0.67,31.07216744383144,28.705708401681424,20,40,50,41,54,55
64,Montecito Heights,34.093705557871644,-118.19345964624966,102408.0,2.0,1919.5,43.7,36.90205011389522,38.4206529992407,11.2,40.8,2697,0.2777159807193177,0.6492398961809418,0.4277555682467162,-1.8516483516483515,70.25266996613702,1469.0,940800.0,,Moderate,50,70,0.5,0.5,2.5,5.0,0.0,0.5,0.5,6.5316685614992345,28.45564926123344,45,15,65,50,50,60
65,Mount Washington,34.103440749536595,-118.21681560882242,123500.0,3.0,629.3333333333334,44.9,31.163434903047097,26.59279778393352,7.6,52.1,2036,0.2180746561886051,0.7008840864440079,0.3111422564821303,-1.543956043956044,107.83898305084745,,1131500.0,73.0,Good,50,70,0.33,0.33,1.67,2.67,0.0,0.33,0.33,6.2082761953835135,27.03207870314252,50,25,70,50,55,65
66,North Hills,34.23869528110028,-118.47826354017526,98438.0,4.0,704.5,47.2,46.77248677248677,35.55555555555556,18.4,33.6,11877,0.2791108865875221,0.6461227582722909,0.4319781078967943,-8.15934065934066,421.4691270404542,,742100.0,63.0,Moderate/Poor,65,85,1.25,0.5,5.0,8.75,0.0,1.25,0.75,29.93160476002219,25.42818605480928,18,35,50,37,52,55
67,North Hollywood,34.180968223053455,-118.37803819223384,73079.0,5.9,583.8983050847457,36.0,65.6221198156682,53.45622119815668,3.8,27.0,18514,0.2732526736523711,0.6619855244679702,0.4127774151436031,-14.34065934065934,537.4165457184324,1883.0,766000.0,68.0,Moderate/Poor,65,90,2.03,1.69,11.86,16.95,0.85,6.78,1.02,18.917806251421272,21.84819859954981,12,60,67,47,65,65
68,Northridge,34.238926667484776,-118.52982057460856,,9.0,289.55555555555554,20.1,85.71428571428571,100.0,13.9,70.4,13681,0.2365324172209633,0.7069658650683429,0.3345740281224152,-10.357142857142858,524.9808135072909,1375.0,,62.0,Moderate/Poor,60,80,0.89,0.44,4.44,7.78,0.89,2.22,0.89,33.53099587562107,25.591492051756106,22,55,51,39,57,50
69,Pacific Palisades,34.078450948010705,-118.5461477467312,250000.0,9.3,367.5268817204301,49.8,31.814611154752555,6.441476826394343,6.6,76.5,2964,0.1342780026990553,0.7995951417004049,0.1679324894514768,-1.6593406593406594,86.71737858396723,3500.0,2000000.0,45.0,Good,50,70,0.54,0.54,3.23,4.3,1.08,0.54,0.11,28.013251934192,8.857834532580824,60,65,36,27,25,50
