OBJECTID,name,latitude_centroid,longitude_centroid,surface_area,air_quality_index,average_dB_level,maximum_dB_level,gym_density,culture_density,local_businesses_density,restaurant_density,premium_stores_density,nightlife_density,hospital_density
34,Florence,33.974644576589235,-118.26855212493767,2.0,Moderate/Poor,65,85,0.50,0.50,2.50,5,0,1,0.50
35,Glassell Park,34.11466786124112,-118.23590897062829,3.5,Moderate,60,80,0.57,0.29,4.29,5.71,0,1.43,0.29
36,Gramercy Park,33.95128135852574,-118.30942011273078,1.0,Moderate/Poor,60,80,1.00,0.00,5.00,8,0,1,1
37,Granada Hills,34.29037297897104,-118.50512643245077,11.0,Moderate/Poor,55,75,0.45,0.18,1.82,3.64,0.09,0.45,0.36
38,Green Meadows,33.94121421174937,-118.26191835523713,1.0,Moderate/Poor,60,80,1.00,0.00,3.00,5,0,1,1
39,Griffith Park,34.13701880890887,-118.29389988760495,5.4,Good,45,65,0.00,0.93,0.00,0.37,0,0.19,0
40,Hancock Park,34.07271565809303,-118.334976129461,2.0,Moderate,60,80,1.50,1.50,7.50,12.50,2.50,5,1
41,Hansen Dam,34.26688748720612,-118.3810255900251,2.0,Good,45,65,0.00,0.00,0.00,0,0,0,0
42,Harbor City,33.79311567379349,-118.2976510031175,6.0,Moderate,60,80,0.50,0.17,2.50,4.17,0,0.83,0.50
43,Harbor Gateway,33.866549832035645,-118.29468447015084,5.8,Moderate,65,90,0.52,0.17,1.72,3.45,0,0.52,0.52
44,Harvard Heights,34.045044733959095,-118.3067245773274,1.0,Moderate,60,80,2.00,1.00,8.00,15,0,5,2
45,Harvard Park,33.98392228425553,-118.30460656120705,1.5,Moderate/Poor,60,80,0.67,0.00,3.33,6.67,0,1.33,0.67
46,Highland Park,34.11563000006861,-118.1926681979814,6.4,Moderate,65,85,0.78,0.78,6.25,9.38,0.47,4.69,0.47
47,Historic South-Central,34.01710470789355,-118.2675034828457,2.0,Moderate/Poor,65,85,1.00,1.00,7.50,15,0,5,1
48,Hollywood Hills,34.12686381342771,-118.32947624488158,2.5,Good,50,70,0.80,0.80,2.00,4,0,2,0.40
49,Hollywood Hills West,34.109963399350754,-118.37133359829787,2.0,Good,50,70,1.00,0.50,1.50,2.50,0,1.50,0
50,Hollywood,34.09499255931088,-118.33058191358197,3.5,Moderate,70,95,3.43,4.29,22.86,34.29,4.29,22.86,2.29
51,Hyde Park,33.98614973659278,-118.32982670562872,7.5,Moderate/Poor,60,80,0.27,0.13,1.07,2,0,0.40,0.27
52,Jefferson Park,34.02914032556797,-118.3222493253986,1.0,Moderate,60,80,2.00,2.00,10.00,20,0,5,1
53,Koreatown,34.06396176179617,-118.3023010840067,7.4,Moderate,70,95,2.03,0.68,13.51,20.27,0.68,8.11,0.81
54,Lake View Terrace,34.28080481489099,-118.36500656893813,3.0,Moderate/Poor,50,70,0.67,0.33,1.67,3.33,0,1,0.33
55,Larchmont,34.079876021912334,-118.31761340206779,0.7,Moderate,60,80,4.29,1.43,28.57,42.86,7.14,7.14,2.86
56,Leimert Park,34.0122449454981,-118.32667448152522,1.2,Moderate,60,80,1.67,3.33,16.67,20.83,0.83,4.17,1.67
57,Lincoln Heights,34.071792226415546,-118.2123638428245,2.5,Moderate/Poor,65,90,0.80,0.80,6.00,12,0,2,2
58,Los Feliz,34.1084866095848,-118.287725755274,3.1,Good/Moderate,60,80,1.61,0.97,12.90,19.35,1.61,8.06,0.97
59,Manchester Square,33.96728617174952,-118.30902343607178,1.0,Moderate/Poor,60,80,1.00,0.00,5.00,8,0,1,1
60,Mar Vista,34.009415360935265,-118.435455829397,4.0,Good,60,80,1.25,0.50,8.75,12.50,0.50,2.50,0.75
61,Mid-City,34.04126385758499,-118.36059125335102,2.0,Moderate,65,85,2.50,2.00,20.00,30,2.50,7.50,2
62,Mid-Wilshire,34.057551479356476,-118.34524908460165,3.0,Moderate,65,90,2.67,5.00,20.00,30,3.33,8.33,2
63,Mission Hills,34.26690511414982,-118.45987435505896,4.5,Moderate/Poor,65,85,0.67,0.22,3.33,5.56,0,1.11,0.67
64,Montecito Heights,34.093705557871644,-118.19345964624966,2.0,Moderate,50,70,0.50,0.50,2.50,5,0,0.50,0.50
65,Mount Washington,34.103440749536595,-118.21681560882242,3.0,Good,50,70,0.33,0.33,1.67,2.67,0,0.33,0.33
66,North Hills,34.23869528110028,-118.47826354017526,4.0,Moderate/Poor,65,85,1.25,0.50,5.00,8.75,0,1.25,0.75
67,North Hollywood,34.180968223053455,-118.37803819223384,5.9,Moderate/Poor,65,90,2.03,1.69,11.86,16.95,0.85,6.78,1.02
68,Northridge,34.238926667484776,-118.52982057460855,9.0,Moderate/Poor,60,80,0.89,0.44,4.44,7.78,0.89,2.22,0.89
69,Pacific Palisades,34.078450948010705,-118.5461477467312,9.3,Good,50,70,0.54,0.54,3.23,4.30,1.08,0.54,0.11
70,Pacoima,34.26377018628646,-118.41633173143768,7.0,Moderate/Poor,65,85,0.29,0.29,2.14,4.29,0,0.71,0.43
71,Palms,34.02499335271433,-118.40965080223258,3.4,Good,60,80,1.47,0.29,7.35,13.24,0.29,2.94,0.88
72,Panorama City,34.22433292075103,-118.44539797507962,3.0,Moderate/Poor,65,85,2.00,0.67,11.67,16.67,0,3.33,1.67
73,Pico-Robertson,34.05380999932527,-118.38665181836532,1.2,Moderate,60,80,5.00,1.67,25.00,45.83,2.50,8.33,3.33
74,Pico-Union,34.04454492153778,-118.28678863002709,1.5,Moderate/Poor,65,85,1.33,2.67,13.33,26.67,0,6.67,2.67
75,Playa del Rey,33.95025347977836,-118.43828525103109,1.2,Good,55,75,1.67,0.83,8.33,12.50,0,4.17,0.83
76,Playa Vista,33.97853438747238,-118.41508242722648,2.0,Good,60,80,2.50,0.50,10.00,15,2.50,4,1
77,Porter Ranch,34.27837796161189,-118.54761204097458,9.0,Moderate/Poor,50,70,0.33,0.11,1.11,2.22,0.22,0.33,0.22
78,Rancho Park,34.034333899613124,-118.42590902637755,1.6,Good,55,75,1.25,0.63,5.00,9.38,0,1.88,0.62
79,Reseda,34.20362489449692,-118.5403493293384,6.3,Moderate/Poor,60,80,0.79,0.32,4.76,7.94,0.16,1.59,0.63
80,San Pedro,33.73863001785346,-118.29287184789013,25.0,Good/Moderate,60,80,0.24,0.32,1.80,2.80,0.08,0.80,0.20
81,Sawtelle,34.03609729043285,-118.44918314496765,2.7,Good,65,85,1.85,1.11,12.96,18.52,0.74,3.70,1.48
82,Sepulveda Basin,34.17693492140089,-118.48869490018863,3.0,Good,45,65,0.00,0.00,0.00,0,0,0,0
83,Shadow Hills,34.2403163561037,-118.33864391934729,2.0,Good,45,65,0.50,0.00,1.00,2.50,0,0.50,0
84,Sherman Oaks,34.150801890181846,-118.44219740361554,6.0,Moderate,65,85,1.67,0.50,10.00,15,1.67,5,1.33
85,Silver Lake,34.09424145512176,-118.26903684829621,2.8,Moderate,65,85,2.14,1.43,17.86,25,1.79,12.50,1.07
86,South Park,33.99656164988579,-118.26858821614853,0.9,Moderate/Poor,65,85,2.22,3.33,22.22,38.89,1.11,16.67,2.22
87,Studio City,34.13984056157801,-118.38889128278628,4.0,Moderate,65,85,2.00,1.25,17.50,25,3.75,8.75,1.25
88,Sunland,34.269194519309515,-118.3126605792355,5.0,Moderate/Poor,55,75,0.40,0.20,2.00,4,0,1,0.40
89,Sun Valley,34.22020363554303,-118.38851011740448,6.0,Moderate/Poor,65,90,0.33,0.17,1.67,4.17,0,0.50,0.50
90,Sylmar,34.31288550748564,-118.44884225763829,14.0,Moderate/Poor,65,85,0.21,0.14,1.07,2.14,0,0.36,0.29
91,Tarzana,34.15663957661596,-118.54617266081324,7.3,Moderate,60,80,0.82,0.27,4.11,6.85,0.68,1.37,0.82
92,Toluca Lake,34.15206322600397,-118.35720432563477,1.0,Moderate,60,80,2.00,1.00,15.00,25,1,8,1
93,Tujunga,34.25868155834884,-118.28051989382203,6.0,Moderate/Poor,55,75,0.33,0.17,1.67,3.33,0,0.50,0.33
94,University Park,34.02817217848023,-118.28355329754372,1.0,Moderate,65,85,2.00,8.00,20.00,40,1,15,5
95,Valley Glen,34.18649563852034,-118.418376163499,2.5,Moderate/Poor,60,80,1.20,0.80,8.00,14,0,4,1.60
96,Valley Village,34.16331512779616,-118.39741613767258,2.0,Moderate,60,80,2.50,1.00,15.00,22.50,0.50,5,2
97,Van Nuys,34.1985234974988,-118.4647944396452,5.9,Moderate/Poor,65,85,1.02,0.51,6.78,10.17,0.34,2.54,1.02
98,Venice,33.99135368870917,-118.462081496188,3.5,Good,65,85,2.29,1.71,17.14,22.86,5.71,8.57,1.14
99,Vermont Knolls,33.96721084836968,-118.29058199587004,1.0,Moderate/Poor,60,80,1.00,0.00,5.00,10,0,3,1
100,Vermont-Slauson,33.983955938609256,-118.29043926897151,1.0,Moderate/Poor,60,80,1.00,0.00,5.00,10,0,3,2
101,Vermont Square,34.002049535886535,-118.29897538786803,0.6,Moderate/Poor,60,80,1.67,0.00,8.33,16.67,0,5,1.67
102,Vermont Vista,33.94195922273944,-118.28587291973462,2.0,Moderate/Poor,60,80,0.50,0.50,2.50,5,0,1.50,0.50
103,Watts,33.94025500776507,-118.24154905775683,2.2,Moderate/Poor,65,85,0.45,1.36,2.27,4.55,0,1.36,0.91
104,West Adams,34.029440530833604,-118.35282956586585,2.3,Moderate,60,80,1.30,2.61,8.70,15.22,0.43,4.35,0.87
105,Westchester,33.953410725521714,-118.40075314035485,6.3,Good,60,80,0.79,0.32,4.76,7.14,0.79,1.59,0.48
106,West Hills,34.206647519385946,-118.6370768219164,8.0,Moderate/Poor,55,75,0.38,0.13,1.25,2.50,0.12,0.38,0.38
107,Westlake,34.06192102786382,-118.27385087468318,2.0,Moderate/Poor,70,95,1.00,1.50,12.50,20,0.50,7.50,2.50
108,West Los Angeles,34.04664541902249,-118.43017561071657,2.8,Good,65,85,2.86,1.07,14.29,25,2.86,7.14,2.14
109,Westwood,34.066236451312676,-118.43765449517085,3.3,Good,65,90,2.42,2.42,15.15,22.73,3.03,7.58,2.42
110,Wilmington,33.78092752330585,-118.25988120981832,12.0,Moderate/Poor,65,90,0.25,0.17,1.67,2.92,0,0.83,0.25
111,Windsor Square,34.06909679237397,-118.31990859895228,1.0,Moderate,55,75,2.00,1.00,5.00,10,0,3,1
112,Winnetka,34.21061339788254,-118.57524998543266,4.8,Moderate/Poor,60,80,1.04,0.42,5.21,8.33,0.21,1.67,0.62
113,Woodland Hills,34.166339061616846,-118.60493673794899,7.2,Moderate/Poor,65,85,1.11,0.56,6.94,11.11,2.78,3.47,1.11
114,Lake Balboa,34.202027510316796,-118.50664421540097,3.0,Moderate,55,75,1.00,0.33,3.33,6.67,0,1.67,1
